Culture,Food,Description,Ingredients
Maori,Hangi,Traditional meal cooked slowly in an underground earth oven using heated stones.,"pork, chicken, potatoes, kumara, pumpkin, cabbage"
Maori,Rewena Bread,"Soft, slightly sour sourdough-style bread made using a fermented potato bug starter.","flour, potato, sugar, water, salt"
Maori,Boil Up,Hearty broth-based dish simmered with pork bones and traditional greens.,"pork bones, watercress, puha, potatoes, kumara, dumplings"
Maori,Kina,"Sea urchin roe eaten raw, prized as a delicacy from the sea.",sea urchin
Maori,Pikelets,"Small, thick pancakes often served with jam and cream at gatherings.","flour, milk, egg, sugar, baking powder"
Maori,Kumara,"Sweet potato variety central to Maori cuisine, often roasted or boiled.","kumara, butter, salt"
Maori,Poi (Dessert),"Sweet fruit-based pudding, distinct from the performance poi, made from mashed fruit.","puha, fruit, sugar, cornflour"
Maori,Toroi,Side dish combining fresh mussels with cooked puha greens.,"mussels, puha, salt"
Maori,Paua Fritters,Fried patties made from minced abalone mixed into a savory batter.,"paua, egg, flour, onion, breadcrumbs"
Maori,Watercress Soup,Simple soup highlighting the peppery flavor of wild watercress.,"watercress, pork bones, water, salt"
Maori,Muttonbird (Titi),"Traditionally harvested seabird, salted or smoked and prized as a delicacy.","muttonbird, salt"
Maori,Maori Fry Bread,"Deep-fried dough bread, crispy outside and soft inside, popular at gatherings.","flour, water, sugar, baking powder, oil"
Maori,Hangi Pork,"Pork cooked underground alongside other hangi ingredients, tender and smoky.","pork, salt, hangi stones"
Maori,Puha and Pork,Classic combination of bitter puha greens slow-cooked with salted pork.,"puha, pork, water, salt"
Maori,Kanga Pirau (Fermented Corn),"Corn steeped in water until fermented, producing a pungent traditional dish.","corn, water"
Maori,Kai Moana Platter,"Assorted seafood platter showcasing mussels, paua, and crayfish.","mussels, paua, crayfish, lemon"
Maori,Pipi Fritters,Fritters made from small shellfish mixed into a light batter and fried.,"pipi, egg, flour, onion"
Maori,Horopito Chicken,Chicken seasoned with native New Zealand pepper tree leaves.,"chicken, horopito leaves, salt, oil"
Maori,Steamed Puddings,"Dense, moist steamed pudding often served after a hangi meal.","flour, dried fruit, suet, sugar, milk"
Maori,Rewena Parāoa Rolls,Small dinner rolls made from the traditional Maori sourdough starter.,"flour, potato starter, salt, water"
Italian,Margherita Pizza,"Classic Neapolitan pizza topped with tomato, mozzarella, and basil.","pizza dough, tomato sauce, mozzarella, basil, olive oil"
Italian,Spaghetti Carbonara,Roman pasta dish with a creamy egg and cheese sauce and crispy pork.,"spaghetti, eggs, pecorino cheese, guanciale, black pepper"
